date,bot_type,entry_price,exit_price,pnl,exit_reason,credit_or_debit,strike_a,strike_b,strike_c,strike_d,vix,atr,adx,rsi,confluence
2024-06-21,BULLISH,5474.25,5467.64990234375,-264.0,EXPIRY,-2.64,5475,5485.0,0,0,13.199999809265137,45.620214932292896,30.193789162405203,54.40350326975359,3
2024-06-25,SIDEWAYS,5458.06005859375,5470.43994140625,128.0,EXPIRY,1.28,5475,5480.0,5440,5435,12.84000015258789,43.04539025747778,18.651371811719486,41.9348522185809,2
2024-06-27,BULLISH,5479.7099609375,5482.10009765625,-34.990234375000014,EXPIRY,-2.45,5480,5490.0,0,0,12.239999771118164,39.542608751727755,12.930138553468618,57.07914018775623,4
2024-06-28,BULLISH,5490.22998046875,5459.16015625,-124.50000000000001,STOP_LOSS,-2.49,5490,5500.0,0,0,12.4399995803833,37.37293018899739,11.119019079343255,55.52043660210967,4
2024-07-01,BEARISH,5472.919921875,5474.5,-194.0,EXPIRY,-2.44,5475,5465.0,0,0,12.220000267028809,42.05920876796441,15.106031351200029,43.09315645684736,2
2024-07-02,BULLISH,5479.10009765625,5509.27978515625,759.0,EXPIRY,-2.41,5480,5490.0,0,0,12.029999732971191,40.85398353640249,11.454951156878016,50.87402288712452,4
2024-07-05,BULLISH,5556.08984375,5566.68994140625,750.0,EXPIRY,-2.5,5555,5565.0,0,0,12.479999542236328,40.85591134928676,21.310699134148535,73.65783043097923,4
2024-07-08,BULLISH,5565.58984375,5572.1298828125,465.98828124999994,EXPIRY,-2.47,5565,5575.0,0,0,12.369999885559082,40.56848254438186,38.58276864272932,81.66293986327233,4
2024-07-09,BULLISH,5586.3701171875,5577.52001953125,-250.0,EXPIRY,-2.5,5585,5595.0,0,0,12.510000228881836,37.90603122596428,46.052397526717,72.79093409830327,4
2024-07-10,BULLISH,5608.31005859375,5632.97998046875,743.0,EXPIRY,-2.57,5610,5620.0,0,0,12.850000381469727,35.238547375002376,49.6884911481853,68.44669413177601,4
2024-07-11,BULLISH,5590.93017578125,5585.509765625,-258.0,EXPIRY,-2.58,5590,5600.0,0,0,12.920000076293945,38.32809522500206,57.95868235193523,85.16912861780474,4
2024-07-12,BULLISH,5625.39990234375,5615.93017578125,-249.00000000000003,EXPIRY,-2.49,5625,5635.0,0,0,12.460000038146973,42.00707054916845,43.68189463005348,51.439513701916376,2
2024-07-15,BULLISH,5647.490234375,5632.56005859375,-262.0,EXPIRY,-2.62,5645,5655.0,0,0,13.119999885559082,45.875463746779324,44.0072931380548,54.48422798949457,3
2024-07-17,BULLISH,5591.41015625,5588.18994140625,-290.0,EXPIRY,-2.9,5590,5600.0,0,0,14.479999542236328,45.61503582535869,24.68647194124453,64.56643904366778,4
2024-07-18,BEARISH,5547.330078125,5545.25,-319.0,EXPIRY,-3.19,5545,5535.0,0,0,15.930000305175781,50.5183826111442,25.544542531792235,38.694164868997234,2
2024-07-19,BEARISH,5518.60986328125,5505.72998046875,670.0,EXPIRY,-3.3,5520,5510.0,0,0,16.520000457763672,55.94789774215831,29.38073055265696,36.64525064780376,3
2024-07-22,BEARISH,5539.02001953125,5563.9599609375,-149.0,STOP_LOSS,-2.98,5540,5530.0,0,0,14.90999984741211,56.54950616820388,34.81397171032306,33.25677256624421,3
2024-07-23,SIDEWAYS,5568.91015625,5556.27001953125,148.0,EXPIRY,1.48,5590,5595.0,5545,5540,14.720000267028809,57.72422044994337,24.28646454321191,51.99122196234562,0
2024-07-25,BEARISH,5478.85986328125,5399.31982421875,631.0,EXPIRY,-3.69,5480,5470.0,0,0,18.459999084472656,65.43839711017968,33.11206651970432,23.11036774930004,4
2024-07-26,BEARISH,5472.52001953125,5459.509765625,672.0000000000001,EXPIRY,-3.28,5475,5465.0,0,0,16.389999389648438,70.13189728715572,33.943935323063776,29.101144376194725,4
2024-07-29,BEARISH,5477.02001953125,5463.68017578125,668.0,EXPIRY,-3.32,5475,5465.0,0,0,16.600000381469727,72.66092556553497,29.493792089605048,45.71812780831016,4
2024-07-30,BEARISH,5424.2900390625,5435.39013671875,-354.0,EXPIRY,-3.54,5425,5415.0,0,0,17.690000534057617,68.74617455263031,21.96093247981322,47.07785459404208,4
2024-07-31,BEARISH,5522.43994140625,5520.9501953125,-327.0,EXPIRY,-3.27,5520,5510.0,0,0,16.360000610351562,71.28132002894627,20.776438604081005,42.45641061126934,4
2024-08-01,BULLISH,5466.39990234375,5446.77001953125,-186.0,STOP_LOSS,-3.72,5465,5475.0,0,0,18.59000015258789,77.11978725425344,21.7878462538806,60.524365156150914,4
2024-08-02,BEARISH,5343.66015625,5345.52001953125,-468.0,EXPIRY,-4.68,5345,5335.0,0,0,23.389999389648438,87.60251353701965,18.260855447568833,43.89648398093681,4
2024-08-06,BEARISH,5275.4501953125,5237.31005859375,500.0,EXPIRY,-5.0,5275,5265.0,0,0,27.709999084472656,112.82108325808365,36.65284930686137,31.946081839892813,4
2024-08-07,BEARISH,5291.77001953125,5201.2099609375,500.0,EXPIRY,-5.0,5290,5280.0,0,0,27.850000381469727,114.57957424033917,29.509905850263955,41.047494713356286,4
2024-08-08,BEARISH,5299.58984375,5318.58984375,-476.0,EXPIRY,-4.76,5300,5290.0,0,0,23.790000915527344,117.31564402912728,27.005839852689046,38.598671522887265,4
2024-08-09,SIDEWAYS,5317.43994140625,5343.97021484375,204.0,EXPIRY,2.04,5360,5365.0,5275,5270,20.3700008392334,118.81086284607699,17.856937601433472,54.142157513856326,0
2024-08-12,BULLISH,5354.89990234375,5345.02001953125,-413.99999999999994,EXPIRY,-4.14,5355,5365.0,0,0,20.709999084472656,110.6800915499334,14.19214798438484,56.99422944043257,2
2024-08-13,BULLISH,5411.35009765625,5434.16015625,638.0,EXPIRY,-3.62,5410,5420.0,0,0,18.1200008392334,102.16675642660894,16.754448580655097,55.53008170895848,2
2024-08-14,BULLISH,5440.5,5453.259765625,676.0,EXPIRY,-3.24,5440,5450.0,0,0,16.190000534057617,100.82583734056108,29.02116155041473,71.34771167982254,4
2024-08-15,BULLISH,5538.60009765625,5542.8798828125,-17.011718749999982,EXPIRY,-3.05,5540,5550.0,0,0,15.229999542236328,93.6904001743196,38.74717070907963,72.37701370097083,4
2024-08-16,BULLISH,5551.43017578125,5554.22021484375,126.021484375,EXPIRY,-2.96,5550,5560.0,0,0,14.800000190734863,93.33434942191032,52.24554032277978,81.8375571006561,4
2024-08-19,BULLISH,5579.9501953125,5607.52001953125,707.0,EXPIRY,-2.93,5580,5590.0,0,0,14.649999618530273,85.79777731148894,55.929112352947776,79.31844573318445,4
2024-08-20,BULLISH,5597.52978515625,5596.41015625,-318.0,EXPIRY,-3.18,5600,5610.0,0,0,15.880000114440918,82.0326830449571,61.457180162609745,87.38768709020846,4
2024-08-21,BULLISH,5605.4599609375,5620.419921875,675.0,EXPIRY,-3.25,5605,5615.0,0,0,16.270000457763672,75.76296072229616,61.89287839346755,70.02788374842793,4
2024-08-22,BULLISH,5608.16015625,5573.35986328125,-175.5,STOP_LOSS,-3.51,5610,5620.0,0,0,17.549999237060547,71.14261283432334,60.92733217287273,69.07231320597734,4
